         974081 function calls (965351 primitive calls) in 300.959 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2940    0.033    0.000    0.400    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/tensor_conversion_registry.py:164(convert)
     2205    0.091    0.000    0.397    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:533(pad)
     2205    0.015    0.000    0.375    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/fft/_pocketfft.py:320(rfft)
     2208    0.056    0.000    0.368    0.000 /usr/lib/python3/dist-packages/psutil/_pslinux.py:1676(_parse_stat_file)
     2205    0.027    0.000    0.357    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/fft/_pocketfft.py:49(_raw_fft)
      735    0.008    0.000    0.355    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/weak_tensor_ops.py:86(wrapper)
     1472    0.028    0.000    0.343    0.000 /usr/lib/python3/dist-packages/psutil/_pslinux.py:1834(cpu_times)
     5880    0.341    0.000    0.341    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1470    0.017    0.000    0.337    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/tensor_math_operator_overrides.py:79(_subtract_factory)
     5880    0.329    0.000    0.329    0.000 {built-in method numpy.fromstring}
      735    0.010    0.000    0.309    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/array_ops.py:63(reshape)
     2205    0.054    0.000    0.295    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:72(frame)
     2205    0.291    0.000    0.291    0.000 {built-in method numpy.fft._pocketfft_internal.execute}
     1470    0.047    0.000    0.291    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:940(cast)
      735    0.015    0.000    0.288    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_tensor_conversion.py:23(_constant_tensor_conversion_function)
      735    0.011    0.000    0.286    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/gen_array_ops.py:8711(reshape)
     2208    0.014    0.000    0.272    0.000 /usr/lib/python3/dist-packages/psutil/_common.py:774(bcat)
      735    0.081    0.000    0.271    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:706(einsum_path)
     2208    0.021    0.000    0.257    0.000 /usr/lib/python3/dist-packages/psutil/_common.py:757(cat)
      735    0.003    0.000    0.257    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:177(constant)
      735    0.007    0.000    0.257    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/tensor_math_operator_overrides.py:85(_truediv_factory)
     1470    0.007    0.000    0.256    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:541(subtract)
      735    0.006    0.000    0.254    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:280(_constant_impl)
8820/8085    0.064    0.000    0.248    0.000 /home/alvaro/.local/lib/python3.11/site-packages/lazy_loader/__init__.py:77(__getattr__)
      735    0.003    0.000    0.244    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:297(_constant_eager_impl)
      735    0.221    0.000    0.241    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:75(convert_to_eager_tensor)
      735    0.024    0.000    0.240    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/convert.py:1649(mel_frequencies)
     1470    0.014    0.000    0.236    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/gen_math_ops.py:12212(sub)
      735    0.003    0.000    0.228    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:1476(truediv)
     1470    0.170    0.000    0.224    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/function_base.py:24(linspace)
      735    0.027    0.000    0.221    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:1427(_truediv_python3)
     1470    0.018    0.000    0.213    0.000 {method 'max' of 'numpy.ndarray' objects}
      735    0.020    0.000    0.196    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:392(pad_center)
     1470    0.007    0.000    0.195    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/_methods.py:39(_amax)
     2205    0.017    0.000    0.182    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:673(get_input_details)
      735    0.117    0.000    0.181    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/spectrum.py:1697(power_to_db)
        1    0.000    0.000    0.176    0.176 /home/alvaro/TFG/V5_Audio/audio_recorder.py:80(__init__)
        1    0.000    0.000    0.175    0.175 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:589(__init__)
        1    0.175    0.175    0.175    0.175 {built-in method pyaudio._portaudio.initialize}
     8820    0.044    0.000    0.175    0.000 /usr/lib/python3.11/importlib/__init__.py:108(import_module)
      736    0.004    0.000    0.166    0.000 /usr/lib/python3/dist-packages/psutil/__init__.py:331(__init__)
     2940    0.165    0.000    0.165    0.000 {built-in method numpy.zeros}
      736    0.020    0.000    0.161    0.000 /usr/lib/python3/dist-packages/psutil/__init__.py:334(_init)
     3675    0.061    0.000    0.142    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:586(_get_tensor_details)
     2205    0.040    0.000    0.139    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tflite_runtime/interpreter.py:699(<listcomp>)
      735    0.005    0.000    0.137    0.000 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:188(get_output)
      735    0.056    0.000    0.132    0.000 /home/alvaro/TFG/V5_Audio/model_w_profilling.py:192(output_tensor)
      735    0.005    0.000    0.130    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/gen_math_ops.py:2097(cast)
      736    0.003    0.000    0.129    0.000 /usr/lib/python3/dist-packages/psutil/__init__.py:708(create_time)
      736    0.006    0.000    0.123    0.000 /usr/lib/python3/dist-packages/psutil/_pslinux.py:1853(create_time)
     2205    0.083    0.000    0.121    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:38(as_strided)
     8820    0.027    0.000    0.118    0.000 <frozen importlib._bootstrap>:1194(_gcd_import)
     4410    0.055    0.000    0.117    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:458(_as_pairs)
     2205    0.039    0.000    0.116    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/numeric.py:1393(moveaxis)
     2209    0.006    0.000    0.110    0.000 /usr/lib/python3/dist-packages/psutil/_common.py:727(open_binary)
      735    0.006    0.000    0.108    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/gen_math_ops.py:8139(real_div)
      735    0.012    0.000    0.106    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3385(mean)
     1472    0.011    0.000    0.105    0.000 /usr/lib/python3/dist-packages/psutil/__init__.py:1567(cpu_count)
     2209    0.104    0.000    0.104    0.000 {built-in method io.open}
     1470    0.031    0.000    0.103    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
      735    0.074    0.000    0.102    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:523(_parse_einsum_input)
     2205    0.071    0.000    0.102    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:86(_pad_simple)
44132/41927    0.084    0.000    0.098    0.000 {built-in method builtins.getattr}
     2208    0.097    0.000    0.097    0.000 {method 'read' of '_io.BufferedReader' objects}
     1472    0.007    0.000    0.094    0.000 /usr/lib/python3/dist-packages/psutil/_pslinux.py:613(cpu_count_logical)
      735    0.041    0.000    0.094    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/_methods.py:101(_mean)
