         983162 function calls (974355 primitive calls) in 301.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2229    0.052    0.000    0.382    0.000 /usr/lib/python3/dist-packages/psutil/_pslinux.py:1676(_parse_stat_file)
     2226    0.027    0.000    0.377    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/fft/_pocketfft.py:49(_raw_fft)
     1484    0.018    0.000    0.376    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/tensor_math_operator_overrides.py:79(_subtract_factory)
      742    0.006    0.000    0.368    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/weak_tensor_ops.py:86(wrapper)
     1486    0.033    0.000    0.359    0.000 /usr/lib/python3/dist-packages/psutil/_pslinux.py:1834(cpu_times)
     5936    0.341    0.000    0.341    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     5936    0.334    0.000    0.334    0.000 {built-in method numpy.fromstring}
      742    0.009    0.000    0.326    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/array_ops.py:63(reshape)
     2226    0.310    0.000    0.310    0.000 {built-in method numpy.fft._pocketfft_internal.execute}
     2229    0.015    0.000    0.299    0.000 /usr/lib/python3/dist-packages/psutil/_common.py:774(bcat)
     2226    0.055    0.000    0.298    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:72(frame)
      742    0.013    0.000    0.296    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/gen_array_ops.py:8711(reshape)
     1484    0.008    0.000    0.290    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:541(subtract)
      742    0.014    0.000    0.289    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_tensor_conversion.py:23(_constant_tensor_conversion_function)
     2229    0.021    0.000    0.284    0.000 /usr/lib/python3/dist-packages/psutil/_common.py:757(cat)
     1484    0.050    0.000    0.275    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:940(cast)
      742    0.082    0.000    0.274    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:706(einsum_path)
      742    0.011    0.000    0.271    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/tensor_math_operator_overrides.py:85(_truediv_factory)
     1484    0.014    0.000    0.269    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/gen_math_ops.py:12212(sub)
      742    0.003    0.000    0.262    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:177(constant)
      742    0.006    0.000    0.259    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:280(_constant_impl)
      742    0.003    0.000    0.248    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:297(_constant_eager_impl)
8904/8162    0.064    0.000    0.247    0.000 /home/alvaro/.local/lib/python3.11/site-packages/lazy_loader/__init__.py:77(__getattr__)
      742    0.225    0.000    0.245    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:75(convert_to_eager_tensor)
      742    0.024    0.000    0.241    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/convert.py:1649(mel_frequencies)
     1484    0.176    0.000    0.232    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/function_base.py:24(linspace)
      742    0.003    0.000    0.232    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:1476(truediv)
      742    0.027    0.000    0.224    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:1427(_truediv_python3)
     1484    0.018    0.000    0.212    0.000 {method 'max' of 'numpy.ndarray' objects}
      742    0.021    0.000    0.196    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:392(pad_center)
