         28790 function calls (27925 primitive calls) in 11.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.015    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/tensor_math_operator_overrides.py:79(_subtract_factory)
       20    0.001    0.000    0.015    0.001 /usr/lib/python3/dist-packages/scipy/signal/windows/_windows.py:2261(get_window)
       20    0.000    0.000    0.014    0.001 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/tensor_math_operator_overrides.py:85(_truediv_factory)
       20    0.000    0.000    0.014    0.001 /usr/lib/python3/dist-packages/scipy/signal/windows/_windows.py:724(hann)
       20    0.000    0.000    0.014    0.001 /usr/lib/python3/dist-packages/scipy/signal/windows/_windows.py:947(general_hamming)
       21    0.000    0.000    0.014    0.001 /usr/lib/python3/dist-packages/psutil/__init__.py:331(__init__)
       20    0.007    0.000    0.014    0.001 /usr/lib/python3/dist-packages/scipy/signal/windows/_windows.py:40(general_cosine)
       21    0.001    0.000    0.014    0.001 /usr/lib/python3/dist-packages/psutil/__init__.py:334(_init)
       20    0.000    0.000    0.014    0.001 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/array_ops.py:63(reshape)
       20    0.000    0.000    0.014    0.001 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:1476(truediv)
       20    0.001    0.000    0.014    0.001 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:1427(_truediv_python3)
       20    0.000    0.000    0.013    0.001 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/gen_array_ops.py:8711(reshape)
       21    0.000    0.000    0.013    0.001 /usr/lib/python3/dist-packages/psutil/__init__.py:708(create_time)
       80    0.000    0.000    0.013    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/profiler/trace.py:178(wrapped)
       42    0.002    0.000    0.013    0.000 /usr/lib/python3/dist-packages/psutil/_pslinux.py:1834(cpu_times)
       80    0.000    0.000    0.013    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/ops.py:717(convert_to_tensor)
       21    0.000    0.000    0.013    0.001 /usr/lib/python3/dist-packages/psutil/_pslinux.py:1853(create_time)
       20    0.013    0.001    0.013    0.001 {method 'flatten' of 'numpy.ndarray' objects}
       80    0.001    0.000    0.012    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/tensor_conversion_registry.py:164(convert)
       20    0.012    0.001    0.012    0.001 {method 'outer' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.012    0.012 /home/alvaro/TFG/V5_Audio/audio_recorder.py:121(__del__)
        1    0.000    0.000    0.012    0.012 /usr/local/lib/python3.11/dist-packages/pyaudio/__init__.py:594(terminate)
        1    0.012    0.012    0.012    0.012 {built-in method pyaudio._portaudio.terminate}
       40    0.000    0.000    0.011    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:541(subtract)
       60    0.001    0.000    0.011    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/override_binary_operator.py:46(maybe_promote_tensors)
       40    0.000    0.000    0.011    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/gen_math_ops.py:12212(sub)
       60    0.000    0.000    0.010    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/fft/_pocketfft.py:320(rfft)
       60    0.002    0.000    0.010    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/lib/arraypad.py:533(pad)
      160    0.010    0.000    0.010    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       60    0.001    0.000    0.009    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/fft/_pocketfft.py:49(_raw_fft)
       40    0.001    0.000    0.009    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/math_ops.py:940(cast)
       40    0.006    0.000    0.009    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/function_base.py:24(linspace)
       63    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
       20    0.000    0.000    0.009    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/gen_math_ops.py:8139(real_div)
      160    0.008    0.000    0.008    0.000 {built-in method numpy.fromstring}
       60    0.008    0.000    0.008    0.000 {built-in method numpy.fft._pocketfft_internal.execute}
       60    0.001    0.000    0.007    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/util/utils.py:72(frame)
       20    0.000    0.000    0.007    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_tensor_conversion.py:23(_constant_tensor_conversion_function)
       64    0.000    0.000    0.007    0.000 /usr/lib/python3/dist-packages/psutil/_common.py:727(open_binary)
       20    0.002    0.000    0.007    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/einsumfunc.py:706(einsum_path)
       64    0.007    0.000    0.007    0.000 {built-in method io.open}
       20    0.000    0.000    0.007    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:177(constant)
       20    0.000    0.000    0.007    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:280(_constant_impl)
       40    0.000    0.000    0.006    0.000 {method 'max' of 'numpy.ndarray' objects}
       20    0.000    0.000    0.006    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:297(_constant_eager_impl)
       20    0.006    0.000    0.006    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/framework/constant_op.py:75(convert_to_eager_tensor)
  240/220    0.002    0.000    0.006    0.000 /home/alvaro/.local/lib/python3.11/site-packages/lazy_loader/__init__.py:77(__getattr__)
       20    0.001    0.000    0.006    0.000 /home/alvaro/.local/lib/python3.11/site-packages/librosa/core/convert.py:1649(mel_frequencies)
       40    0.000    0.000    0.006    0.000 /home/alvaro/.local/lib/python3.11/site-packages/numpy/core/_methods.py:39(_amax)
       20    0.000    0.000    0.005    0.000 /home/alvaro/.local/lib/python3.11/site-packages/tensorflow/python/ops/gen_math_ops.py:2097(cast)
