Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T()	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
	0.2314	0.1099	1.0137	-3.2959	2.2583	-13.855
	0.0195	-0.0977	0.7266	-5.127	2.1973	-14.4043
	0.2134	0.2446	1.1895	6.2866	8.4229	-8.606
	-0.1558	-0.1948	0.9014	-6.6528	-5.4321	-1.3428
	-0.0757	-0.0933	0.8984	-4.0894	-2.5024	-0.3052
	0.2812	-0.1064	0.8525	-8.9111	3.7842	-13.6719
	-0.0439	-0.1553	0.9116	3.1738	5.3101	4.0283
	0.0762	-0.0601	0.979	0.9155	2.1973	0.2441
	0.168	-0.231	0.0835	-11.2915	-3.2349	-13.0005
	0.1924	-0.0132	2.0566	9.1553	-18.3716	-14.9536
	-0.0244	-0.0933	-0.7944	12.3291	15.1367	-17.9443
	0.1885	0.2202	1.6084	5.4321	11.5967	-14.5874
	-0.0747	-0.1479	0.7988	0.4272	-5.188	0.1221
	-0.3672	-0.0054	0.9917	2.1362	-3.6621	2.1362
	0.0386	-0.1816	0.9609	-0.7324	-3.0518	1.1597
	0.1777	0.1851	1.4136	0.7935	14.0381	-1.4038
	-0.0415	-0.3242	-1.043	-26.3062	38.5132	11.1084
	0.0225	-0.0327	0.7222	1.709	5.7983	7.9346
	0.0757	-0.3472	1.1353	-14.0381	-31.9824	0.6714
	0.1353	0.0464	1.3486	4.6387	11.1694	-8.8501
	0.1309	0.0645	0.9702	0.3052	3.479	-6.8359
	0.1978	-0.0566	1.1123	-0.6104	-4.4556	1.2817
	0.0054	-0.0762	0.9971	-1.9531	-2.1362	-0.1831
	0.084	-0.126	1.0479	-0.5493	-1.5869	-0.1221
	0.0044	-0.0933	1.0083	-0.6104	-1.5259	-0.1831
	0.0356	-0.0942	1.0151	-0.1831	-1.4038	0.0
	0.0156	-0.1333	1.0239	0.3662	-0.3052	-0.4272
	0.0327	-0.1011	0.9961	-1.2207	-1.3428	0.1221
	0.0459	-0.0879	0.9937	-0.3052	-0.1831	-0.2441
	-0.0459	-0.0146	1.1138	3.418	2.4414	-1.1597
	-0.042	-0.4043	1.2705	-6.7139	-15.4419	7.9346
	-0.0059	0.0244	1.1191	5.249	7.9956	-7.3242
	0.0527	-0.3149	2.6177	9.6436	-17.6392	-5.7983
	0.2183	0.0845	2.1191	11.6577	-13.0615	15.4419
	0.0898	-0.3198	0.9116	-13.0615	0.8545	2.1973
	0.1445	0.0078	0.7393	1.9531	2.4414	1.4038
	-0.1401	-0.0601	1.0112	4.0894	1.709	-1.9531
	-0.123	-0.1313	0.9956	4.2725	2.9907	-1.4648
	-0.0576	0.0747	1.5508	3.7842	-6.4087	9.3994
	0.0479	-0.1812	0.8301	0.9155	12.6953	-5.9204
	-0.0532	-0.1392	1.8438	4.3335	0.2441	3.2349
	0.0796	-0.1509	1.0288	0.7324	-2.1973	-0.2441
	-0.0649	-0.0659	1.0801	3.1128	6.1646	-0.8545
	-0.001	-0.1216	1.0112	-0.7324	-2.9297	-0.061
	-0.0278	-0.1426	0.9756	1.2817	3.479	-0.6104
	0.0415	-0.104	1.0107	-0.7935	-1.5869	0.061
	0.042	-0.1401	0.96	0.0	0.061	-0.1221
	0.0269	-0.1104	0.9712	-0.1221	-0.2441	0.2441
	0.0078	-0.1284	0.9961	-0.061	-1.1597	0.2441
	0.002	-0.0947	1.0112	0.0	0.061	0.0
	0.0132	-0.1152	0.9761	-1.2207	-0.3662	0.0
	0.0332	-0.1128	0.9863	-0.6714	-0.7935	0.1831
	0.0229	-0.1216	1.021	-0.6104	-1.4648	0.1831
	0.0234	-0.1211	0.9961	-0.4883	-1.0986	0.0
	0.0532	-0.0962	1.0259	-0.5493	-0.4272	-0.061
	-0.0518	-0.2705	0.814	-3.2959	-6.7749	3.1738
	-0.0503	-0.2144	-0.1294	3.6621	-18.1885	2.5635
	-0.106	-0.0713	1.0605	4.4556	1.1597	-1.8921
	0.0215	-0.1182	1.0864	3.1128	1.8311	-1.2817
	0.0269	-0.1274	1.0254	0.5493	-0.5493	0.061
	0.0278	-0.125	1.0156	0.6104	0.0	-0.1221
	0.0317	-0.1318	1.0166	0.0	-0.6104	-0.061
	0.0474	-0.1206	1.0288	-0.061	-0.2441	-0.1831
	0.041	-0.1348	0.9697	0.4883	-2.2583	0.1221
	0.043	-0.1348	1.0093	-0.4272	-0.4883	-0.061
	0.0278	-0.1318	1.0034	0.061	-0.2441	-0.061
	0.0459	0.0464	1.2817	5.0049	2.1973	-1.5259
	0.1763	-0.0815	0.501	-3.9673	-2.6245	-4.4556
	-0.1606	-0.48	1.6499	5.7373	-8.5449	2.4414
	0.0522	-0.0288	0.4004	-6.7139	1.9531	3.8452
	0.1108	-0.1279	1.2329	2.9297	1.8311	4.6387
	-0.001	-0.1118	0.9771	1.4038	1.1597	-1.5259
	0.127	0.0298	0.9004	3.1738	3.9062	3.3569
	-0.103	-0.2388	1.1899	2.2583	-0.3662	-1.709
	-0.0356	-0.2114	0.9058	0.061	-1.2207	-5.127
	-0.0229	-0.1006	1.1064	-3.1128	-4.0894	-1.4038
	0.0415	-0.0713	1.0786	-2.3193	-5.7983	-1.6479
	0.1924	-0.0249	0.8955	2.2583	3.6621	-3.54
	0.0342	-0.1523	0.8374	-4.6997	-2.9907	-0.9766
	0.0205	-0.0049	1.0552	6.8359	5.7983	1.0376
	0.2549	0.1001	1.0928	-6.2866	2.2583	-0.1221
